公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
上海七牛信息技术有限公司,七牛云,500-2000人,D轮及以上,朝阳区,运维开发工程师（北京）,3-5年,本科,16k-32k,"弹性工作,六险一金,不打卡,扁平化管理"
北京易联纵横科技有限公司,PXN,50-150人,不需要融资,朝阳区,运维开发经理/总监,不限,本科,35k-70k,"技术驱动,风口行业,bat团队,区块链"
北京纽曼腾飞科技有限公司,纽曼,500-2000人,不需要融资,海淀区,高级运维开发工程师,3-5年,本科,30k-50k,"大平台,薪资福利好"
北京凌云雀科技有限公司,灵雀云,150-500人,B轮,海淀区,运维开发工程师（高级）,3-5年,本科,15k-30k,技术领先，团队顶级，资金充足，H1B计划
蜂网供应链管理（上海）有限公司,蜂网,150-500人,不需要融资,昌平区,运维开发工程师,不限,不限,12k-24k,"14薪,带薪福利假,期权激励"
欧科互动网络科技（北京）有限公司,OKCoin,500-2000人,B轮,海淀区,高级运维开发工程师,5-10年,本科,20k-40k,"公司前景好,福利待遇佳,团队氛围好,牛人大咖多"
北京优帆科技有限公司,青云,150-500人,D轮及以上,朝阳区,高级运维开发工程师,1-3年,本科,15k-25k,"工程师文化,大牛团队,福利多多"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,运维开发工程师,3-5年,本科,18k-35k,"三餐,健身房,mac"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,运维开发工程师-客户成功部,3-5年,本科,15k-30k,运维开发
杭州赛码网络科技有限公司,赛码网,150-500人,不需要融资,朝阳区,运维开发工程师,3-5年,本科,10k-20k,"央企稳定,福利待遇好,不加班,业务垄断"
思特沃克软件技术（成都）有限公司,ThoughtWorks,2000人以上,不需要融资,东城区,运维开发工程师-DevOps,5-10年,不限,15k-25k,"自我驱动,平等开放,福利完善,软件卓越"
北京字节跳动科技有限公司,字节跳动,2000人以上,C轮,海淀区,高级系统工程师-运维开发,1-3年,本科,20k-40k,弹性工作，免费三餐，租房补贴，带薪休假
北京陌陌科技有限公司,陌陌,500-2000人,上市公司,朝阳区,运维开发工程师,3-5年,本科,20k-40k,"成长大,团队精湛,绩效奖金,上升空间大"
猿份（北京）网络科技有限公司,猿份,500-2000人,不需要融资,朝阳区,运维开发工程师,3-5年,本科,30k-50k,"16薪,不加班,五险一金,法定节日"
北京三快在线科技有限公司,美团点评,2000人以上,D轮及以上,朝阳区,高级运维开发工程师,3-5年,本科,25k-45k,"超值期权,丰厚福利,爆发机会"
北京贝斯平云科技有限公司,Bespin,150-500人,B轮,朝阳区,运维开发经理,5-10年,大专,25k-40k,"六险一金,位置便利,福利多多,弹性工作"
锤子软件（北京）有限公司,锤子科技,500-2000人,B轮,朝阳区,运维开发工程师,3-5年,本科,15k-25k,"免费4餐,弹性时间"
北京金山网络科技有限公司,猎豹移动,500-2000人,上市公司,朝阳区,运维开发工程师,不限,本科,15k-25k,"餐补,15薪,超长年假,超豪华年会"
北京中交兴路信息科技有限公司,中交兴路,500-2000人,未融资,海淀区,运维开发架构师/运维开发经理,5-10年,本科,15k-30k,福利好
北京东方国信科技股份有限公司,东方国信,2000人以上,上市公司,朝阳区,高级运维开发工程师（YJS1lzp）,5-10年,本科,9k-18k,"十三薪,年终奖,年度体检,节日福利"
神州优车股份有限公司,神州优车集团,2000人以上,上市公司,海淀区,运维开发工程师（北京）,3-5年,本科,18k-35k,"弹性工作,技术驱动,工作氛围好,福利待遇好"
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,朝阳区,高级运维开发工程师,3-5年,本科,25k-40k,"弹性工作制,大牛云集"
上海任意门科技有限公司,Soul App,50-150人,B轮,海淀区,运维开发工程师,1-3年,本科,15k-30k,"高薪资,上升空间,快速发展,扁平管理"
北京展心展力信息科技有限公司,展心展力,50-150人,A轮,朝阳区,运维开发工程师（专家）,3-5年,本科,25k-50k,"房补,餐补,年终奖,高期权"
北京趣拿软件科技有限公司,去哪儿网,2000人以上,不需要融资,海淀区,运维开发工程师--平台事业部(J13295),不限,不限,15k-25k,前景广阔
北京云动九天科技有限公司,省钱快报,150-500人,C轮,东城区,运维开发工程师,3-5年,本科,20k-35k,"七险一金,免费三餐,弹性工作制,大牛多"
互动峰科技(北京)有限公司,好大夫在线,500-2000人,D轮及以上,朝阳区,运维开发工程师,不限,本科,15k-30k,"大公司,大平台,空间大,发展机会多"
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,朝阳区,运维开发-C/C++,3-5年,本科,7k-10k,"五险一金,节假日福利,定期体检,通讯补助"
北京云杉世界信息技术有限公司,美菜网,2000人以上,D轮及以上,朝阳区,运维开发技术专家,5-10年,本科,35k-50k,"晋升空间,福利待遇优"
北京达佳互联信息技术有限公司,快手,500-2000人,D轮及以上,海淀区,大数据平台运维开发工程师,3-5年,本科,20k-40k,"带薪年假,年度体检,免费午餐,弹性工作"
北京展心展力信息科技有限公司,展心展力,50-150人,A轮,朝阳区,运维开发工程师,3-5年,本科,15k-30k,"环境好,福利多,年终奖,房补"
北京快跑信息科技有限公司,小猪短租,150-500人,D轮及以上,海淀区,运维开发高级工程师(J10319),3-5年,本科,15k-30k,餐补；节假日福利；超长年假
北京多贝兄弟信息技术有限公司,多贝网,50-150人,上市公司,海淀区,运维开发工程师,应届毕业生,本科,10k-20k,"六险一金,不打卡,自助午餐,极客文化"
中寰卫星导航通信有限公司,中寰卫星,500-2000人,不需要融资,海淀区,大数据运维开发工程师,3-5年,本科,15k-30k,六险一金 免费班车 定期体检
北京中交兴路信息科技有限公司,中交兴路,500-2000人,未融资,海淀区,运维开发架构师/运维开发经理,5-10年,本科,25k-35k,"福利好,运维经理,架构师"
北京猎户星空科技有限公司,猎户星空,500-2000人,A轮,朝阳区,运维开发工程师,不限,本科,18k-35k,"发展前景好,高薪"
北京蜜莱坞网络科技有限公司,映客,500-2000人,C轮,朝阳区,运维开发工程师,应届毕业生,本科,15k-25k,技术大牛
北京默契破冰科技有限公司,玩吧,150-500人,B轮,东城区,高级运维开发工程师,3-5年,本科,20k-35k,"七险一金,弹性不打卡,季度旅游,免费午餐"
北京东方国信科技股份有限公司,东方国信,2000人以上,上市公司,朝阳区,产品运维开发工程师（GYHL1lzp）,1-3年,本科,8k-16k,"十三薪,年终奖,年度体检,节日福利"
深圳市金证科技股份有限公司,金证股份,2000人以上,上市公司,朝阳区,运维开发 -java,3-5年,本科,7k-10k,"五险一金,节假日福利,定期体检,通讯补助"
北京多贝兄弟信息技术有限公司,多贝网,50-150人,上市公司,海淀区,运维开发工程师,应届毕业生,本科,10k-20k,"六险一金,免费午餐,极客氛围,不打卡"
第四范式（北京）技术有限公司,第四范式,500-2000人,B轮,海淀区,AI基础运维开发工程师,1年以下,本科,15k-30k,大牛
大鱼快乐有限公司,阿里文娱,2000人以上,上市公司,海淀区,优酷-Java研发专家-运维开发,3-5年,本科,20k-30k,"平台大,学习机会,五险一金,技术大牛"
创新奇智（北京）科技有限公司,创新奇智,50-150人,天使轮,海淀区,运维开发工程师,3-5年,本科,20k-40k,"优质资源,技术大牛,优质团队"
广联达科技股份有限公司,广联达科技,500-2000人,上市公司,海淀区,高级运维开发/运维专家,5-10年,大专,30k-40k,"五险一金,上市公司,免费班车,免费午晚餐"
北京下厨房科技有限公司,下厨房,50-150人,B轮,海淀区,运维开发工程师,1-3年,本科,15k-25k,"超长年假,不打卡,五险一金,还有好多"
北京北森云计算股份有限公司,北森云计算,500-2000人,上市公司,海淀区,运维开发工程师（paas/运维）,1-3年,本科,15k-25k,"八险一金,晋升空间,弹性工作"
互动峰科技(北京)有限公司,好大夫在线,500-2000人,D轮及以上,朝阳区,运维开发工程师,不限,本科,20k-40k,"大公司,大平台,空间大,机会多"
