公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
北京多点在线科技有限公司,多点在线,150-500人,C轮,海淀区,高级运维工程师,3-5年,本科,20k-30k,"技术大咖,气氛活跃,队友给力,环境优雅"
北京奇华通讯有限公司,奇华通讯,50-150人,不需要融资,东城区,运维工程师,1-3年,大专,6k-8k,"年终奖金,五险一金,餐补交补,高温补贴"
北京汇银丰网络技术有限公司,汇银丰网络,150-500人,C轮,西城区,运维工程师,1-3年,本科,8k-10k,独立负责运维工作、股权激励
北京千橡网景科技发展有限公司,人人网,2000人以上,上市公司,朝阳区,运维工程师,1-3年,大专,10k-20k,"上市公司,弹性工作制,六险一金"
北京友缘在线网络科技股份有限公司,友缘在线,150-500人,不需要融资,朝阳区,高级运维工程师,5-10年,本科,20k-30k,福利待遇
北京京东世纪贸易有限公司,京东集团,2000人以上,上市公司,通州区,运维工程师,不限,本科,25k-50k,"双休,班车,饭补,全勤奖"
深圳市赢时胜信息技术股份有限公司,赢时胜软件,500-2000人,上市公司,东城区,运维工程师,1-3年,本科,7k-14k,"上市公司,金融软件,领导好"
泛华保险服务销售集团有限公司,泛华金融控股集团,500-2000人,上市公司,朝阳区,系统运维工程师,1-3年,本科,10k-15k,"多元化项目,发挥空间大"
北京展心展力信息科技有限公司,展心展力,50-150人,A轮,朝阳区,开发运维工程师,3-5年,本科,10k-20k,"高期权,环境好,福利好"
北京巨洲云科技有限公司,巨洲云科技,150-500人,上市公司,朝阳区,运维工程师,1年以下,本科,15k-25k,"团队好,平台稳定,福利完善"
北京八分量信息科技有限公司,八分量,15-50人,天使轮,海淀区,运维工程师,1-3年,本科,15k-25k,"狼性团队,五险一金,节日福利,带薪休假"
北京爱声声科技有限公司,冲顶,50-150人,B轮,朝阳区,运维工程师,3-5年,本科,15k-30k,"免费午晚餐,各项补助,年终奖"
天津益阳煜赢网络科技有限公司,云账户,150-500人,B轮,朝阳区,高级运维工程师,3-5年,本科,15k-30k,"带薪年假,周末双休,弹性工作,年终奖金"
北京掌通未来科技有限公司,掌通未来,150-500人,不需要融资,海淀区,高级运维工程师,3-5年,本科,15k-25k,五险一金、弹性时间、奖金、团建、节日福利
百度在线网络技术（北京）有限公司,百度,2000人以上,不需要融资,海淀区,百度-运维工程师,不限,本科,20k-40k,"薪资待遇好,平台大,环境好"
北京智借网络科技有限公司,智借网络科技,50-150人,未融资,海淀区,运维工程师,1-3年,本科,6k-8k,团队氛围好
北京迅达云成科技有限公司,SpeedyCloud,50-150人,B轮,朝阳区,SD-WAN运维工程师,1-3年,大专,8k-15k,"地铁周边,六险一金,扁平管理,带薪年假"
美通云动（北京）科技有限公司,红芯,150-500人,C轮,海淀区,运维工程师,3-5年,大专,15k-25k,"15薪起,五险一金,技术氛围佳,管理扁平"
深圳四方精创资讯股份有限公司,深圳四方精创,500-2000人,上市公司,海淀区,运维工程师,不限,本科,6k-9k,"五险一金,员工旅游,绩效奖金"
北京心更远科技发展有限公司,火花思维,150-500人,B轮,朝阳区,运维工程师,3-5年,本科,20k-30k,"扁平管理,试用期全额,七险一金,弹性工作"
北京人大金仓信息技术股份有限公司,人大金仓,150-500人,不需要融资,朝阳区,运维工程师,不限,本科,10k-20k,"六险一金,国有企业,交补饭补,弹性工作制"
